0.83,0.44,0.49,0.91,0.66
0.29,0.29,0.4,0.78,0.18
0.61,0.78,0.69,0.92,0.58
0.276,0.255,0.81,0.27,0.33
0.66,0.36,0.56,0.4,0.83
0.312,0.8,0.67,0.92,0.5
0.35,0.38,0.32,0.6,0.16
0.08,0.08,0.1,0.24,0.9
0.32,0.12,0.79,0.76,0.24
0.305,0.55,0.5,0.11,0.333
0.288,0.31,0.79,0.23,0.24
0.255,0.75,0.35,0.72,0.25
0.1,0.1,0.15,0.65,0.3
0.64,0.09,0.33,0.65,0.5
0.48,0.3,0.15,0.65,0.77
0.18,0.72,0.37,0.29,0.55
0.365,0.243,0.19,0.24,0.35
0.61,0.258,0.56,0.62,0.24
0.255,0.72,0.72,0.63,0.14
0.1,0.39,0.75,0.31,0.62
0.58,0.58,0.31,0.29,0.29
0.54,0.82,0.71,0.29,0.77
0.38,0.01,0.53,0.27,0.3
0.2,0.45,0.28,0.31,0.78
0.345,0.299,0.1,0.64,0.13
0.91,0.58,0.26,0.89,0.88
0.6,0.19,0.55,0.08,0.1
0.258,0.28,0.64,0.29,0.56
0.265,0.06,0.57,0.75,0.1
0.08,0.58,0.6,0.64,0.1
0.27,0.1,0.1,0.7,0.25
0.37,0.6,0.77,0.4,0.5
0.465,0.258,0.73,0.18,0.59
0.55,0.1,0.27,0.25,0.29
0.56,0.6,0.6,0.31,0.5
0.78,0.21,0.68,0.65,0.75
0.495,0.82,0.67,0.01,0.93
0.295,0.25,0.26,0.12,0.67
0.51,0.4,0.4,0.59,0.23
0.3,0.08,0.4,0.02,0.67
0.62,0.62,0.24,0.65,0.25
0.2,0.14,0.35,0.72,0.25
0.02,0.33,0.36,0.76,0.1
0.66,0.38,0.55,0.15,0.62
0.38,0.39,0.79,0.33,0.3
0.09,0.3,0.68,0.18,0.85
0.49,0.64,0.34,0.78,0.21
0.4,0.61,0.71,0.88,0.67
0.1,0.256,0.7,0.76,0.16
0.06,0.29,0.35,0.76,0.25
0.2,0.52,0.36,0.84,0.25
0.523,0.41,0.55,0.6,0.22
0.365,0.68,0.1,0.63,0.18
0.55,0.1,0.34,0.3,0.1
0.15,0.02,0.34,0.4,0.01
0.39,0.05,0.02,0.06,0.34
0.64,0.55,0.15,0.18,0.63
0.348,0.329,0.83,0.61,0.18
0.09,0.255,0.6,0.45,0.25
0.51,0.255,0.55,0.17,0.64
0.42,0.21,0.87,0.56,0.48
0.09,0.6,0.66,0.19,0.59
0.06,0.35,0.12,0.43,0.29
0.79,0.28,0.88,0.2,0.66
0.44,0.08,0.8,0.22,0.56
0.14,0.49,0.55,0.29,0.6
0.251,0.265,0.57,0.6,0.09
0.32,0.255,0.55,0.78,0.34
0.275,0.1,0.72,0.1,0.3
0.19,0.38,0.38,0.49,0.45
0.445,0.39,0.02,0.24,0.88
0.24,0.75,0.32,0.18,0.86
0.85,0.05,0.91,0.8,0.68
0.248,0.3,0.31,0.2,0.03
0.5,0.4,0.73,0.62,0.2
0.18,0.32,0.04,0.19,0.82
0,0,0.5,0.2,0.85
0.315,0.69,0.28,0.8,0.7
0.2,0.68,0.73,0.48,0.28
0.28,0.16,0.69,0.33,0.78
0.2,0.29,0.25,0.49,0.56
0.49,0.34,0.88,0.75,0.71
0.295,0.2,0.86,0.44,0.28
0.76,0.258,0.07,0.83,0.34
0.43,0.45,0.27,0.27,0.89
0.88,0.335,0.19,0.55,0.78
0.38,0.36,0.46,0.49,0.78
0.49,0.245,0.38,0.14,0.86
0.62,0.37,0.81,0.13,0.64
0.48,0.12,0.28,0.7,0.71
0.265,0.6,0.28,0.66,0.07
0.46,0.44,0.89,0.12,0.66
0.44,0.69,0.61,0.29,0.57
0.25,0.1,0.03,0.09,0.15
0.36,0.29,0.37,0.48,0.13
0.71,0.475,0.13,0.23,0.59
0.61,0.33,0.36,0.28,0.28
0.12,0.12,0.75,0.35,0.8
0.06,0.5,0.09,0.28,0.25
0.18,0.18,0.55,0.3,0.81
0.73,0.2,0.07,0.72,0.26
0.15,0.79,0.78,0.3,0.51
0.29,0.3,0.56,0.25,0.67
0.55,0.17,0.71,0.48,0.11
0.27,0.31,0.32,0.41,0.28
0.78,0.61,0.71,0.19,0.6
0.28,0.78,0.44,0.17,0.66
0.52,0.288,0.32,0.5,0.3
0.258,0.25,0.295,0.33,0.77
0.325,0.25,0.38,0.31,0.79
0.245,0.26,0.38,0.49,0.27
0.43,0.305,0.51,0.09,0.64
0.15,0.295,0.75,0.65,0.24
0.89,0.68,0.49,0.65,0.9
0.295,0.29,0.31,0.76,0.1
0.4,0.42,0.58,0.75,0.16
0.77,0.267,0.59,0.78,0.28
0.3,0.85,0.54,0.25,0.83
0,0,0,0,0
